model,density,particle_count,side,cells_per_side,cutoff,samples,seed_count,mean_time_ns,stddev_time_ns,mean_distance_evaluations
vicsek,2.0,200,10.0,9,1.0,5703,3,82897.4206557952,20242.294976581805,4638.404173242153
vicsek,4.0,400,10.0,9,1.0,5703,3,248514.21024022443,57082.635509497006,14705.720848676136
vicsek,8.0,800,10.0,9,1.0,5703,3,914937.0952130457,183152.7691073545,56306.707171664035
voter,2.0,200,10.0,9,1.0,5703,3,47646.510082412766,6799.797610276157,2345.4287217254077
voter,4.0,400,10.0,9,1.0,5703,3,154489.9216201999,7148.092862678598,9085.883394704542
voter,8.0,800,10.0,9,1.0,5703,3,577691.573207084,31146.94038626141,36131.037348763806
