lag_seconds,msd_m2,std_m2
0.027917893968726064,0.0006952474075462789,5.840719082875942e-06
0.07515276374943076,0.003178918642915454,1.622629139863473e-05
0.12506985917943672,0.006475189077183989,5.189289566027777e-05
0.17505302447382878,0.009866432954440821,0.00012661080311062464
0.224963568916347,0.01315318479586201,0.00022049003708535348
0.274918603272123,0.016328781399105326,0.0003047793683447038
0.32484619002437676,0.019385177291333443,0.0004113378788951149
0.3749367758894545,0.02231252504678933,0.0004872882861128788
0.4250469897350347,0.025125506466561354,0.0005761818270248202
0.47512079290022624,0.027848891976183947,0.0006580308218342922
0.5251222764105185,0.03048386990719735,0.0007563571017892227
0.575010069961846,0.03301966885417763,0.0008154214619675428
0.6248652852529676,0.0354413803914991,0.0009597436352052454
0.6749000473840215,0.0377278608987522,0.0010300492648949008
0.724903816011617,0.039991388966511464,0.0011229894083004213
0.774845193499733,0.042116175705472325,0.0011859714077136199
0.8248451525621748,0.0442590741972327,0.0013028327848686213
0.8750438646375016,0.046361013481279766,0.0013504329238849977
0.92511598347907,0.048386615479645054,0.0014342274535647692
0.975036117994992,0.05034208340351243,0.0014345006103474382
1.0249221556306798,0.05231032785352998,0.001471505402250065
1.0749010409016226,0.05424235489431389,0.0015597992992184638
1.1248365145003172,0.056103086920885746,0.0015963049016065062
1.1749242983039547,0.05794502998955557,0.0017188340302969937
1.224944538969199,0.05971125477488547,0.0018015556946622908
1.2748868008468253,0.0615126376261491,0.0018677138486308939
1.3248981992905964,0.06325116140115654,0.0019281374197175028
1.374912230949596,0.06507318033205428,0.0020434024048991088
1.4248683447215482,0.06681458453086539,0.0022180872730111823
1.4749226186448254,0.06850978783444295,0.002328548862509167
1.524991613417734,0.07019432651807737,0.002329310015974197
1.5749516796322798,0.07194932088668189,0.0025307855599324067
1.6249332674619617,0.07355162446379251,0.0024855500198504616
1.6749771694243631,0.07523182496968767,0.002541952999027363
1.7248392586341257,0.07679326705837433,0.002599371750379514
1.7750218131950262,0.07843037457997899,0.0026465428525959712
1.8250037166285533,0.07999459581661623,0.0027887513706720147
1.875013562374536,0.08159393587433157,0.0028386512971760374
1.9251279401761026,0.08319957435062045,0.002888499238969373
1.9749996712797322,0.08471649695241808,0.00286538890754966
2.024834870242411,0.08619364816808324,0.0029182980675171817
2.074860847882664,0.08776444859946349,0.002870321896478738
2.1248331661166864,0.08932444825715344,0.0028805133615175736
2.1749297966413144,0.09073493026166657,0.00286283920193174
2.2249440327823384,0.09219447280914043,0.002845500791575653
2.275024936021013,0.09364725420214504,0.0029761912747066845
2.324991380410901,0.0949840745282972,0.002878742963646869
2.3750065533766103,0.09644644178528158,0.002869837816807155
2.425012098414553,0.09783005290034776,0.002980792528816861
2.4749517494483704,0.09917049106458403,0.003030905765340213
2.524923876908794,0.10055397392931135,0.0031637359819602588
2.575046250465134,0.10184652799578413,0.003208519377944851
2.625029451296181,0.10309734141985313,0.0030828577109008543
2.6749787160470797,0.10430116062222197,0.003060796893481216
2.724911717497075,0.10561965098210233,0.0031306038087811896
2.774928593184163,0.10686033353447055,0.0030066099165010733
2.824912566883756,0.10814930391315661,0.0031927715430344703
2.8749955302435235,0.10928192019297323,0.003209131665670856
2.924979122844447,0.11050421043227472,0.003502418070996194
2.9750089501513264,0.11165782754110791,0.0035595552827634262
