slope_m2_s,squared_error
0.06623675062207961,0.006535127927295047
0.06632783718059973,0.006467341044511158
0.06641892373911985,0.006399924432839721
0.06651001029763998,0.006332878092280736
0.0666010968561601,0.006266202022834201
0.06669218341468022,0.00619989622450012
0.06678326997320035,0.0061339606972784875
0.06687435653172047,0.0060683954411693075
0.06696544309024059,0.006003200456172579
0.06705652964876072,0.005938375742288303
0.06714761620728084,0.005873921299516476
0.06723870276580096,0.0058098371278571
0.06732978932432108,0.005746123227310178
0.06742087588284121,0.0056827795978757045
0.06751196244136133,0.005619806239553685
0.06760304899988145,0.005557203152344117
0.06769413555840158,0.005494970336246997
0.0677852221169217,0.005433107791262332
0.06787630867544182,0.005371615517390117
0.06796739523396195,0.005310493514630352
0.06805848179248207,0.005249741782983041
0.0681495683510022,0.00518936032244818
0.06824065490952232,0.00512934913302577
0.06833174146804244,0.005069708214715812
0.06842282802656256,0.0050104375675183044
0.06851391458508269,0.00495153719143325
0.06860500114360281,0.004893007086460645
0.06869608770212293,0.004834847252600492
0.06878717426064306,0.004777057689852791
0.06887826081916318,0.0047196383982175405
0.0689693473776833,0.004662589377694743
0.06906043393620342,0.004605910628284395
0.06915152049472355,0.004549602149986499
0.06924260705324367,0.004493663942801054
0.0693336936117638,0.00443809600672806
0.06942478017028392,0.0043828983417675185
0.06951586672880404,0.004328070947919428
0.06960695328732416,0.004273613825183789
0.06969803984584429,0.004219526973560601
0.06978912640436441,0.004165810393049864
0.06988021296288453,0.00411246408365158
0.06997129952140466,0.004059488045365746
0.07006238607992478,0.004006882278192364
0.0701534726384449,0.003954646782131433
0.07024455919696503,0.0039027815571829527
0.07033564575548515,0.003851286603346925
0.07042673231400527,0.0038001619206233478
0.0705178188725254,0.0037494075090122227
0.07060890543104552,0.003699023368513548
0.07069999198956564,0.0036490094991273253
0.07079107854808576,0.0035993659008535534
0.07088216510660589,0.003550092573692234
0.07097325166512601,0.0035011895176433653
0.07106433822364613,0.003452656732706948
0.07115542478216626,0.0034044942188829817
0.07124651134068638,0.0033567019761714676
0.0713375978992065,0.0033092800045724045
0.07142868445772663,0.003262228304085792
0.07151977101624675,0.003215546874711631
0.07161085757476687,0.0031692357164499222
0.07170194413328701,0.003123294829300658
0.07179303069180712,0.0030777242132638575
0.07188411725032726,0.0030325238683394963
0.07197520380884737,0.002987693794527599
0.0720662903673675,0.0029432339918281404
0.07215737692588761,0.0028991444602411457
0.07224846348440775,0.0028554251997665895
0.07233955004292786,0.002812076210404498
0.072430636601448,0.0027690974921548454
0.07252172315996812,0.0027264890450176492
0.07261280971848824,0.0026842508689929054
0.07270389627700836,0.002642382964080612
0.07279498283552849,0.0026008853302807704
0.07288606939404861,0.0025597579675933806
0.07297715595256873,0.0025190008760184422
0.07306824251108886,0.0024786140555559553
0.07315932906960898,0.0024385975062059194
0.0732504156281291,0.002398951227968334
0.07334150218664923,0.002359675220843201
0.07343258874516935,0.002320769484830519
0.07352367530368947,0.0022822340199302885
0.0736147618622096,0.0022440688261425095
0.07370584842072972,0.002206273903467181
0.07379693497924984,0.002168849251904306
0.07388802153776997,0.0021317948714538806
0.07397910809629009,0.0020951107621159067
0.07407019465481021,0.0020587969238903842
0.07416128121333034,0.0020228533567773132
0.07425236777185046,0.0019872800607766937
0.07434345433037058,0.0019520770358885254
0.0744345408888907,0.0019172442821128086
0.07452562744741083,0.0018827817994495437
0.07461671400593095,0.001848689587898729
0.07470780056445107,0.0018149676474603661
0.0747988871229712,0.0017816159781344546
0.07488997368149132,0.0017486345799209947
0.07498106024001144,0.001716023452819986
0.07507214679853157,0.0016837825968314287
0.07516323335705169,0.0016519120119553234
0.07525431991557181,0.001620411698191668
0.07534540647409194,0.001589281655540465
0.07543649303261206,0.001558521884001713
0.07552757959113218,0.0015281323835754125
0.0756186661496523,0.0014981131542615633
0.07570975270817243,0.0014684641960601662
0.07580083926669255,0.0014391855089712188
0.07589192582521267,0.0014102770929947245
0.0759830123837328,0.0013817389481306807
0.07607409894225292,0.0013535710743790884
0.07616518550077304,0.0013257734717399472
0.07625627205929317,0.001298346140213258
0.07634735861781329,0.0012712890797990195
0.07643844517633341,0.0012446022904972326
0.07652953173485354,0.0012182857723078973
0.07662061829337366,0.0011923395252310131
0.07671170485189378,0.0011667635492665807
0.0768027914104139,0.0011415578444145989
0.07689387796893403,0.001116722410675069
0.07698496452745415,0.00109225724804799
0.07707605108597428,0.0010681623565333628
0.0771671376444944,0.0010444377361311867
0.07725822420301452,0.0010210833868414624
0.07734931076153465,0.000998099308664189
0.07744039732005477,0.0009754855015993674
0.07753148387857489,0.0009532419656469967
0.07762257043709501,0.0009313687008070774
0.07771365699561514,0.0009098657070796096
0.07780474355413526,0.0008887329844645931
0.07789583011265538,0.000867970532962028
0.07798691667117551,0.0008475783525719148
0.07807800322969563,0.0008275564432942523
0.07816908978821575,0.0008079048051290413
0.07826017634673588,0.0007886234380762816
0.078351262905256,0.0007697123421359735
0.07844234946377612,0.0007511715173081163
0.07853343602229625,0.0007330009635927109
0.07862452258081637,0.0007152006809897568
0.07871560913933649,0.0006977706694992543
0.07880669569785662,0.0006807109291212028
0.07889778225637674,0.0006640214598556025
0.07898886881489686,0.0006477022617024537
0.07907995537341699,0.0006317533346617563
0.07917104193193711,0.0006161746787335105
0.07926212849045723,0.0006009662939177159
0.07935321504897735,0.0005861281802143727
0.07944430160749748,0.000571660337623481
0.0795353881660176,0.0005575627661450401
0.07962647472453772,0.0005438354657790511
0.07971756128305785,0.0005304784365255131
0.07980864784157797,0.000517491678384427
0.0798997344000981,0.0005048751913557918
0.07999082095861822,0.0004926289754396083
0.08008190751713834,0.0004807530306358759
0.08017299407565846,0.00046924735694459487
0.08026408063417859,0.0004581119543657652
0.08035516719269871,0.00044734682289938703
0.08044625375121883,0.0004369519625454602
0.08053734030973896,0.0004269273733039846
0.08062842686825908,0.00041727305517496064
0.0807195134267792,0.0004079890081583876
0.08081059998529933,0.00039907523225426626
0.08090168654381945,0.00039053172746259597
0.08099277310233957,0.0003823584937833773
0.0810838596608597,0.00037455553121661003
0.08117494621937982,0.000367122839762294
0.08126603277789994,0.0003600604194204294
0.08135711933642006,0.0003533682701910161
0.08144820589494019,0.00034704639207405416
0.08153929245346031,0.0003410947850695436
0.08163037901198043,0.00033551344917748444
0.08172146557050056,0.0003303023843978768
0.08181255212902068,0.0003254615907307205
0.0819036386875408,0.0003209910681760154
0.08199472524606093,0.0003168908167337616
0.08208581180458105,0.00031316083640395916
0.08217689836310117,0.00030980112718660815
0.0822679849216213,0.0003068116890817086
0.08235907148014143,0.0003041925220892601
0.08245015803866154,0.00030194362620926336
0.08254124459718168,0.0003000650014417177
0.08263233115570179,0.0002985566477866238
0.08272341771422193,0.00029741856524398094
0.08281450427274203,0.0002966507538137894
0.08290559083126217,0.0002962532134960493
0.08299667738978228,0.0002962259442907606
0.08308776394830242,0.00029656894619792333
0.08317885050682253,0.00029728221921753746
0.08326993706534266,0.0002983657633496029
0.08336102362386277,0.0002998195785941195
0.08345211018238291,0.0003016436649510879
0.08354319674090302,0.00030383802242050725
0.08363428329942316,0.0003064026510023783
0.08372536985794327,0.00030933755069670007
0.0838164564164634,0.0003126427215034741
0.08390754297498351,0.00031631816342269845
0.08399862953350365,0.0003203638764543753
