seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
7473610527107199534,periodic,brute_force,10,2.8284271247461903,1,1,68,1625,38,45
13270535066977910371,periodic,brute_force,10,2.8284271247461903,1,1,69,1583,37,45
599322821674723893,periodic,brute_force,10,2.8284271247461903,1,1,70,1542,40,45
8618323810656910737,periodic,brute_force,10,2.8284271247461903,1,1,71,1583,37,45
5302483555720400989,periodic,brute_force,10,2.8284271247461903,1,1,72,1625,37,45
9415800352905235754,periodic,brute_force,10,2.8284271247461903,1,1,73,1583,38,45
358484491622748357,periodic,brute_force,10,2.8284271247461903,1,1,74,1583,40,45
12704506371539492977,periodic,brute_force,10,2.8284271247461903,1,1,75,1583,39,45
15304188155324619068,periodic,brute_force,10,2.8284271247461903,1,1,76,1583,39,45
5343034832681330993,periodic,brute_force,10,2.8284271247461903,1,1,77,1500,38,45
12531651206939329394,periodic,brute_force,10,2.8284271247461903,1,1,78,1500,39,45
14155529790914607633,periodic,brute_force,10,2.8284271247461903,1,1,79,1584,38,45
16969568937308752511,periodic,brute_force,10,2.8284271247461903,1,1,80,1625,38,45
12584310229218242335,periodic,brute_force,10,2.8284271247461903,1,1,81,1625,37,45
12079300534306771102,periodic,brute_force,10,2.8284271247461903,1,1,82,1625,39,45
15677966444377253144,periodic,brute_force,10,2.8284271247461903,1,1,83,1583,38,45
17214141373984638375,periodic,brute_force,10,2.8284271247461903,1,1,84,1583,40,45
8854174693132390281,periodic,brute_force,10,2.8284271247461903,1,1,85,1584,39,45
17806289966629738315,periodic,brute_force,10,2.8284271247461903,1,1,86,1542,37,45
1772492603594681052,periodic,brute_force,10,2.8284271247461903,1,1,87,1625,39,45
9596069135584309914,periodic,brute_force,10,2.8284271247461903,1,1,88,1667,35,45
5474698431953354027,periodic,brute_force,10,2.8284271247461903,1,1,89,1625,36,45
10262107647778780655,periodic,brute_force,10,2.8284271247461903,1,1,90,1792,35,45
10919565190216991914,periodic,brute_force,10,2.8284271247461903,1,1,91,1625,37,45
3433406685039720306,periodic,brute_force,10,2.8284271247461903,1,1,92,1625,41,45
9893282581606438628,periodic,brute_force,10,2.8284271247461903,1,1,93,1625,38,45
12934368522913060396,periodic,brute_force,10,2.8284271247461903,1,1,94,1708,35,45
7660020693091792826,periodic,brute_force,10,2.8284271247461903,1,1,95,1542,37,45
9626917716596884723,periodic,brute_force,10,2.8284271247461903,1,1,96,1625,36,45
8058366653912565289,periodic,brute_force,10,2.8284271247461903,1,1,97,1583,37,45
14080966943355374834,periodic,brute_force,10,2.8284271247461903,1,1,98,1667,40,45
3035013000836692349,periodic,brute_force,10,2.8284271247461903,1,1,99,1542,38,45
11529704769783211349,periodic,brute_force,10,2.8284271247461903,1,1,100,1584,39,45
12865633049413727675,periodic,cim,25,4.4721359549995796,2,1,1,9333,95,300
7710843638818493141,periodic,cim,25,4.4721359549995796,2,1,2,9084,98,300
4531904964092358955,periodic,cim,25,4.4721359549995796,2,1,3,9667,102,300
15714692470929225272,periodic,cim,25,4.4721359549995796,2,1,4,9666,106,300
4422749185451718295,periodic,cim,25,4.4721359549995796,2,1,5,9125,103,300
14791460709708975334,periodic,cim,25,4.4721359549995796,2,1,6,8875,97,300
15265909396875664412,periodic,cim,25,4.4721359549995796,2,1,7,9584,108,300
10202468985419542028,periodic,cim,25,4.4721359549995796,2,1,8,9000,97,300
2189718467167288814,periodic,cim,25,4.4721359549995796,2,1,9,9167,100,300
14081534731052596906,periodic,cim,25,4.4721359549995796,2,1,10,9167,96,300
17889035706409779220,periodic,cim,25,4.4721359549995796,2,1,11,9625,97,300
3858342229218156327,periodic,cim,25,4.4721359549995796,2,1,12,17500,107,300
3548119520381849248,periodic,cim,25,4.4721359549995796,2,1,13,8750,100,300
11668266143348875214,periodic,cim,25,4.4721359549995796,2,1,14,9458,105,300
15440718152122787855,periodic,cim,25,4.4721359549995796,2,1,15,9500,104,300
13921120377893558325,periodic,cim,25,4.4721359549995796,2,1,16,9333,98,300
9758419055703487561,periodic,cim,25,4.4721359549995796,2,1,17,9250,97,300
686304385695559365,periodic,cim,25,4.4721359549995796,2,1,18,9458,106,300
12307672339072865024,periodic,cim,25,4.4721359549995796,2,1,19,9416,98,300
3080796019178405281,periodic,cim,25,4.4721359549995796,2,1,20,9750,99,300
14552752553738959847,periodic,cim,25,4.4721359549995796,2,1,21,9916,102,300
1107801765720992330,periodic,cim,25,4.4721359549995796,2,1,22,10125,108,300
11545766240856486036,periodic,cim,25,4.4721359549995796,2,1,23,9834,95,300
2729893372773225790,periodic,cim,25,4.4721359549995796,2,1,24,10000,97,300
10090436651314663429,periodic,cim,25,4.4721359549995796,2,1,25,10041,112,300
18169506295209896434,periodic,cim,25,4.4721359549995796,2,1,26,9917,101,300
16597507875089749157,periodic,cim,25,4.4721359549995796,2,1,27,10209,97,300
11954050779157166624,periodic,cim,25,4.4721359549995796,2,1,28,9292,100,300
5684904587129723614,periodic,cim,25,4.4721359549995796,2,1,29,9333,98,300
1797683294570453189,periodic,cim,25,4.4721359549995796,2,1,30,9416,100,300
3423867098442935276,periodic,cim,25,4.4721359549995796,2,1,31,8792,97,300
8716626958727749368,periodic,cim,25,4.4721359549995796,2,1,32,9167,101,300
2823688078612682068,periodic,cim,25,4.4721359549995796,2,1,33,9042,105,300
1399785128779967974,periodic,cim,25,4.4721359549995796,2,1,34,21916,104,300
13453823978859131647,periodic,cim,25,4.4721359549995796,2,1,35,9625,101,300
4279387832456883810,periodic,cim,25,4.4721359549995796,2,1,36,8916,101,300
13806416295457928689,periodic,cim,25,4.4721359549995796,2,1,37,9250,99,300
6494539633676147459,periodic,cim,25,4.4721359549995796,2,1,38,9292,101,300
28419235169679679,periodic,cim,25,4.4721359549995796,2,1,39,9292,98,300
10624132354574651579,periodic,cim,25,4.4721359549995796,2,1,40,9166,96,300
14026792889208889085,periodic,cim,25,4.4721359549995796,2,1,41,9459,103,300
