seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
17141945712046261536,periodic,cim,500,20,2,1,7,2000625,1978,124750
17141945712046261536,periodic,cim,500,20,3,1,7,1982583,1978,124750
17141945712046261536,periodic,cim,500,20,4,1,7,1173875,1978,70025
17141945712046261536,periodic,cim,500,20,5,1,7,819416,1978,44808
17141945712046261536,periodic,cim,500,20,6,1,7,618708,1978,30990
17141945712046261536,periodic,cim,500,20,7,1,7,493625,1978,22763
17141945712046261536,periodic,cim,500,20,8,1,7,397667,1978,17400
17141945712046261536,periodic,cim,500,20,9,1,7,353541,1978,13710
17141945712046261536,periodic,cim,500,20,10,1,7,308792,1978,11038
17141945712046261536,periodic,cim,500,20,11,1,7,275875,1978,9104
17141945712046261536,periodic,cim,500,20,12,1,7,260000,1978,7621
17141945712046261536,periodic,cim,500,20,13,1,7,241458,1978,6484
16252953251613191498,periodic,brute_force,500,20,1,1,8,2167833,2006,124750
16252953251613191498,periodic,cim,500,20,2,1,8,2024875,2006,124750
16252953251613191498,periodic,cim,500,20,3,1,8,2025167,2006,124750
16252953251613191498,periodic,cim,500,20,4,1,8,1255917,2006,70174
16252953251613191498,periodic,cim,500,20,5,1,8,917042,2006,44870
16252953251613191498,periodic,cim,500,20,6,1,8,630041,2006,31151
16252953251613191498,periodic,cim,500,20,7,1,8,497541,2006,22833
16252953251613191498,periodic,cim,500,20,8,1,8,396042,2006,17467
16252953251613191498,periodic,cim,500,20,9,1,8,340375,2006,13766
16252953251613191498,periodic,cim,500,20,10,1,8,300083,2006,11118
16252953251613191498,periodic,cim,500,20,11,1,8,275250,2006,9149
16252953251613191498,periodic,cim,500,20,12,1,8,256375,2006,7675
16252953251613191498,periodic,cim,500,20,13,1,8,235167,2006,6511
8443287397174831896,periodic,brute_force,500,20,1,1,9,2218333,2003,124750
8443287397174831896,periodic,cim,500,20,2,1,9,2158584,2003,124750
8443287397174831896,periodic,cim,500,20,3,1,9,2008833,2003,124750
8443287397174831896,periodic,cim,500,20,4,1,9,1203417,2003,70126
8443287397174831896,periodic,cim,500,20,5,1,9,827209,2003,44798
8443287397174831896,periodic,cim,500,20,6,1,9,634541,2003,31047
8443287397174831896,periodic,cim,500,20,7,1,9,485916,2003,22776
8443287397174831896,periodic,cim,500,20,8,1,9,399291,2003,17396
8443287397174831896,periodic,cim,500,20,9,1,9,350750,2003,13720
8443287397174831896,periodic,cim,500,20,10,1,9,361125,2003,11096
8443287397174831896,periodic,cim,500,20,11,1,9,283000,2003,9125
8443287397174831896,periodic,cim,500,20,12,1,9,266500,2003,7670
8443287397174831896,periodic,cim,500,20,13,1,9,237666,2003,6510
13231102049763725131,periodic,brute_force,500,20,1,1,10,2106542,1986,124750
13231102049763725131,periodic,cim,500,20,2,1,10,2059708,1986,124750
13231102049763725131,periodic,cim,500,20,3,1,10,1981292,1986,124750
13231102049763725131,periodic,cim,500,20,4,1,10,1224917,1986,70047
13231102049763725131,periodic,cim,500,20,5,1,10,803833,1986,44780
13231102049763725131,periodic,cim,500,20,6,1,10,643333,1986,30935
13231102049763725131,periodic,cim,500,20,7,1,10,521083,1986,22740
13231102049763725131,periodic,cim,500,20,8,1,10,411958,1986,17327
13231102049763725131,periodic,cim,500,20,9,1,10,378625,1986,13705
13231102049763725131,periodic,cim,500,20,10,1,10,296333,1986,11020
13231102049763725131,periodic,cim,500,20,11,1,10,274541,1986,9099
13231102049763725131,periodic,cim,500,20,12,1,10,251291,1986,7640
