seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
7283272865765172488,walls,cim,10,20,13,1,90,3166,0,2
13554473894440924554,walls,cim,10,20,13,1,91,3208,1,2
7366337559259663772,walls,cim,10,20,13,1,92,3167,1,4
7807965361378707752,walls,cim,10,20,13,1,93,3166,0,2
6894264090337897236,walls,cim,10,20,13,1,94,3042,0,1
11533714135707722600,walls,cim,10,20,13,1,95,3250,2,8
16781536886484210154,walls,cim,10,20,13,1,96,3125,1,2
17613584855055763080,walls,cim,10,20,13,1,97,3084,0,1
1331866776723543761,walls,cim,10,20,13,1,98,3208,1,3
10753398951803554501,walls,cim,10,20,13,1,99,3208,1,5
13744453128923003406,walls,cim,10,20,13,1,100,3125,0,2
1148645871811494266,walls,cim,25,20,13,1,1,3875,0,7
15379012047190016964,walls,cim,25,20,13,1,2,3875,3,13
10886319395280563715,walls,cim,25,20,13,1,3,4041,4,18
3097618387202143226,walls,cim,25,20,13,1,4,3958,2,11
16808071273497397273,walls,cim,25,20,13,1,5,3875,3,12
72576816655258895,walls,cim,25,20,13,1,6,4125,7,15
413120686331979006,walls,cim,25,20,13,1,7,3917,2,13
12519511592570954400,walls,cim,25,20,13,1,8,4042,6,15
15821698945868490645,walls,cim,25,20,13,1,9,4459,11,19
11457622537151235643,walls,cim,25,20,13,1,10,4083,4,17
7933451125594236724,walls,cim,25,20,13,1,11,4125,5,18
12066010398095026062,walls,cim,25,20,13,1,12,4041,3,14
2924668281932945993,walls,cim,25,20,13,1,13,4292,8,18
9454266127653245671,walls,cim,25,20,13,1,14,4125,4,17
18167381641575645530,walls,cim,25,20,13,1,15,4000,3,13
12898183687133459608,walls,cim,25,20,13,1,16,4333,8,22
18260349300882099816,walls,cim,25,20,13,1,17,3791,4,10
15600894932012648798,walls,cim,25,20,13,1,18,4042,7,17
12582203154642488414,walls,cim,25,20,13,1,19,4000,6,15
17805325250285936752,walls,cim,25,20,13,1,20,3917,2,15
7370157043494477619,walls,cim,25,20,13,1,21,4000,3,18
3195239683143181366,walls,cim,25,20,13,1,22,4208,5,21
3590506508514569809,walls,cim,25,20,13,1,23,4000,8,15
11069847062134028011,walls,cim,25,20,13,1,24,4042,5,14
5392688038686718235,walls,cim,25,20,13,1,25,3959,4,14
493223750401559164,walls,cim,25,20,13,1,26,3958,6,16
1872719844855845130,walls,cim,25,20,13,1,27,4125,4,15
3934800286869128232,walls,cim,25,20,13,1,28,4167,8,16
3944510987657088216,walls,cim,25,20,13,1,29,3958,4,14
17526269505813097819,walls,cim,25,20,13,1,30,3875,3,8
1491457115986839384,walls,cim,25,20,13,1,31,3917,4,15
13169241694845372224,walls,cim,25,20,13,1,32,3916,4,14
17747422415130132778,walls,cim,25,20,13,1,33,3958,5,14
4525135424361495232,walls,cim,25,20,13,1,34,4084,7,20
542058850200102550,walls,cim,25,20,13,1,35,4000,4,17
14622839765808893270,walls,cim,25,20,13,1,36,4083,6,20
11772658083329205760,walls,cim,25,20,13,1,37,3958,3,13
4314140821488906533,walls,cim,25,20,13,1,38,4166,8,20
12014853976212068753,walls,cim,25,20,13,1,39,3959,4,12
10999404862579856668,walls,cim,25,20,13,1,40,4208,4,19
5564510345370759926,walls,cim,25,20,13,1,41,3875,4,11
15301379301115238753,walls,cim,25,20,13,1,42,4166,6,15
11314411644830875147,walls,cim,25,20,13,1,43,4084,4,16
6472784121597278719,walls,cim,25,20,13,1,44,3833,3,9
14438349722418566930,walls,cim,25,20,13,1,45,4000,5,12
7617933553086210559,walls,cim,25,20,13,1,46,4000,1,13
2932580820792137756,walls,cim,25,20,13,1,47,3916,1,13
5407330290812432926,walls,cim,25,20,13,1,48,3917,1,13
4399855319313109606,walls,cim,25,20,13,1,49,3958,4,14
12169312783246893880,walls,cim,25,20,13,1,50,4000,3,12
15744009300517549272,walls,cim,25,20,13,1,51,4208,7,18
12884888159068603420,walls,cim,25,20,13,1,52,4250,7,18
16383118416228140225,walls,cim,25,20,13,1,53,4042,6,14
15356384044260275664,walls,cim,25,20,13,1,54,4500,6,14
5277550313075899214,walls,cim,25,20,13,1,55,4042,7,12
7096044533838834466,walls,cim,25,20,13,1,56,4000,5,14
1033871387408521980,walls,cim,25,20,13,1,57,4125,8,18
8178691560547911730,walls,cim,25,20,13,1,58,3917,2,12
5001951260574474391,walls,cim,25,20,13,1,59,4000,5,11
4399640761209892292,walls,cim,25,20,13,1,60,4000,2,14
12742945900023187321,walls,cim,25,20,13,1,61,4166,5,22
10673907368302258,walls,cim,25,20,13,1,62,3917,5,9
10388526663500279814,walls,cim,25,20,13,1,63,3833,2,9
4615741131996711741,walls,cim,25,20,13,1,64,3958,6,11
2789267602421726462,walls,cim,25,20,13,1,65,3875,5,9
16190433768736973237,walls,cim,25,20,13,1,66,4084,7,17
17739959943264376387,walls,cim,25,20,13,1,67,3917,5,12
12205654710098806098,walls,cim,25,20,13,1,68,3917,3,11
5282732520151928471,walls,cim,25,20,13,1,69,3875,2,12
9756406990866471642,walls,cim,25,20,13,1,70,4042,3,16
5624424586804002988,walls,cim,25,20,13,1,71,3834,3,10
18198571208119615418,walls,cim,25,20,13,1,72,4042,6,15
12079045326499418623,walls,cim,25,20,13,1,73,3916,3,15
818872719082163069,walls,cim,25,20,13,1,74,3959,3,12
11327307081600197924,walls,cim,25,20,13,1,75,3958,2,12
