seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
3497050932569278859,periodic,cim,10,20,13,1,87,2959,0,1
11266674708764562418,periodic,cim,10,20,13,1,88,2959,0,2
5614265799510570344,periodic,cim,10,20,13,1,89,3000,2,3
16769471349347704802,periodic,cim,10,20,13,1,90,2917,0,0
3714094456619336124,periodic,cim,10,20,13,1,91,2958,0,2
13069801686035531352,periodic,cim,10,20,13,1,92,3000,0,2
10990650824381435161,periodic,cim,10,20,13,1,93,2959,1,2
13961456175534068743,periodic,cim,10,20,13,1,94,3042,2,7
6269127543611972275,periodic,cim,10,20,13,1,95,2917,1,2
1316219664440595048,periodic,cim,10,20,13,1,96,3000,0,3
11064602170893792365,periodic,cim,10,20,13,1,97,2917,1,1
1404382645062000511,periodic,cim,10,20,13,1,98,3083,2,3
1403331574437427032,periodic,cim,10,20,13,1,99,2958,0,4
10569638927694651849,periodic,cim,10,20,13,1,100,2875,0,0
11802504209909375909,periodic,cim,25,20,13,1,1,4041,4,17
6102258434438818684,periodic,cim,25,20,13,1,2,3792,4,14
2542956225083766068,periodic,cim,25,20,13,1,3,3792,4,14
1555030328541306080,periodic,cim,25,20,13,1,4,3833,2,10
5896923549840790382,periodic,cim,25,20,13,1,5,3875,4,18
11235145891737153708,periodic,cim,25,20,13,1,6,4084,9,18
3879691697170551099,periodic,cim,25,20,13,1,7,4000,6,23
15027140016190357697,periodic,cim,25,20,13,1,8,3875,4,17
7850293486673056658,periodic,cim,25,20,13,1,9,4083,6,15
1400497928899993714,periodic,cim,25,20,13,1,10,3916,3,12
5817204808739209277,periodic,cim,25,20,13,1,11,3833,4,14
6493517394605515511,periodic,cim,25,20,13,1,12,3916,4,11
10515682149015969671,periodic,cim,25,20,13,1,13,4042,6,16
13852691712517955224,periodic,cim,25,20,13,1,14,3834,3,14
638274531915521423,periodic,cim,25,20,13,1,15,3833,6,18
13701661278952850249,periodic,cim,25,20,13,1,16,4000,8,13
7632563672119906637,periodic,cim,25,20,13,1,17,3833,4,14
16477037886882044094,periodic,cim,25,20,13,1,18,3834,4,13
4985958088295565400,periodic,cim,25,20,13,1,19,3875,6,16
5770593002318142692,periodic,cim,25,20,13,1,20,3833,4,18
14963947552620134781,periodic,cim,25,20,13,1,21,3834,3,16
5484560517706601356,periodic,cim,25,20,13,1,22,3875,4,14
16167790224573719633,periodic,cim,25,20,13,1,23,3917,8,18
13243623278206395478,periodic,cim,25,20,13,1,24,4042,8,18
6784073562006953213,periodic,cim,25,20,13,1,25,3875,4,15
13046318402506644150,periodic,cim,25,20,13,1,26,3916,5,16
